論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諟	𬤊
諠	喧
諡	谥
諢	诨
諤	谔
諦	谛
諧	谐
諫	谏
諭	谕
諮	咨
諱	讳
諲	𬤇
諳	谙
諴	𫍯
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謊	谎
謌	歌
謎	谜
謏	𫍲
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謟	谄
謠	谣
謡	谣
謨	谟
謩	谟
謫	谪
謬	谬
謭	谫
謳	讴
謹	谨
謼	呼
謾	谩
譁	哗
譆	嘻
證	证
譌	讹
譎	谲
譏	讥
譓	𬤝
譔	撰
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譞	𫍽
譟	噪
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譽	誉
譾	谫
讀	读
讁	谪
變	变
讋	詟
讌	宴
讎	仇 雠
讐	仇 雠
讒	谗
讓	让
讕	谰
讖	谶
讙	欢
讚	赞
讜	谠
讞	谳
谿	溪 谿
豈	岂
豎	竖
豐	丰
豓	艳
豔	艳
豬	猪
豶	豮
貍	狸
貓	猫
貙	䝙
貛	獾
貝	贝
貞	贞
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀 资
貳	贰
貴	贵
貶	贬
買	买
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賉	恤
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賙	赒
賚	赉
賛	赞
賜	赐
賞	赏
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賴	赖
賵	赗
賷	赍
賸	剩
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贄	贽
贅	赘
贇	赟
贈	赠
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贑	赣
贓	赃
贔	赑
贖	赎
贗	赝
贛	赣
贜	赃
赬	赪
趂	趁
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
跥	跺
跴	踩
跼	局
踁	胫
踐	践
踫	碰
踰	逾
踴	踊
蹌	跄
蹏	蹄
蹔	暂
蹕	跸
蹟	迹
蹠	跖
蹣	蹒
蹤	踪
蹧	糟
蹵	蹴
蹺	跷
蹻	跷
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躑	踯
躒	跞
躓	踬
躕	蹰
躚	跹
躡	蹑
躥	蹿
躦	躜
躪	躏
躭	耽
躳	躬
躶	裸
軀	躯
車	车
軋	轧
軌	轨
軍	军
軏	𫐄
軑	轪
軒	轩
軔	轫
軛	轭
軝	𬨂
軟	软
軤	轷
軫	轸
軲	轱
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
較	较
輄	𨐈
輅	辂
輇	辁
輈	辀
載	载
輊	轾
輋	𪨶
輒	辄
輓	挽
輔	辅
輕	轻
輗	𫐐
輙	辄
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輥	辊
輦	辇
輩	辈
輪	轮
輬	辌
輭	软
輮	𫐓
輯	辑
輳	辏
輶	𬨎
輸	输
輻	辐
輼	辒
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
轉	转
轍	辙
轎	轿
轔	辚
轟	轰
轡	辔
轢	轹
轤	轳
辠	罪
辢	辣
辤	辞
辦	办
辭	辞
辮	辫
辯	辩
農	农
辳	农
迴	回
迺	迺 乃
迻	移
逈	迥
逕	径 迳
這	这
連	连
逥	回
逩	奔
週	周
進	进
遉	侦
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
遡	溯
適	适
遯	遁
遲	迟
遶	绕
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
邨	邨 村
郟	郏
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
鄧	邓
鄩	𬩽
鄭	郑
鄰	邻
鄲	郸
鄳	𫑡
鄴	邺
鄶	郐
鄺	邝
酇	酂
酈	郦
酖	鸩
酧	酬
醃	腌
醆	盏
醕	醇
醖	酝
醜	丑
醞	酝
醣	糖
醫	医
醬	酱
醱	酦
醲	𬪩
醻	酬
醼	宴
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘 釐
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
針	针
釣	钓
釤	钐
釦	扣
釧	钏
釩	钒
釬	焊
釴	𬬩
釵	钗
釷	钍
釹	钕
釺	钎
釿	𬬱
鈀	钯
鈁	钫
鈃	钘
鈄	钭
鈅	钥
鈆	铅
鈇	𫓧
鈈	钚
鈉	钠
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈔	钞
鈕	钮
鈞	钧
鈡	钟
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
鈰	铈
鈴	铃
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈾	铀
鈿	钿
鉀	钾
鉅	巨 钜
鉆	钻
鉈	铊
鉉	铉
鉊	𬬿
鉋	刨
鉍	铋
鉏	锄
鉑	铂
鉕	钷
鉗	钳
鉚	铆
鉛	铅
鉞	钺
鉢	钵
鉤	钩
鉥	𬬸
鉦	钲
鉧	𬭁
鉬	钼
鉭	钽
鉮	𬬹
鉳	锫
鉶	铏
鉷	𫟹
鉸	铰
鉺	铒
鉻	铬
鉿	铪
銀	银
銃	铳
銅	铜
銈	𫓯
銍	铚
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
銲	焊
銳	锐
銶	𨱇
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
鋃	锒
鋅	锌
鋇	钡
鋌	铤
鋏	铗
鋐	𬭎
鋒	锋
鋗	𫓶
鋙	铻
鋝	锊
鋟	锓
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋹	𬬮
鋼	钢
錀	𬬭
錁	锞
錄	录
錆	锖
錇	锫
錈	锩
錐	锥
錒	锕
錕	锟
錘	锤
錙	锱
錚	铮
錛	锛
錞	𬭚
錟	锬
錠	锭
錡	锜
錢	钱
錤	𫓹
錦	锦
錨	锚
錫	锡
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
錼	镎
鍀	锝
鍁	锨
鍃	锪
鍅	钫
鍆	钔
鍇	锴
鍈	锳
鍊	炼 链
鍋	锅
鍍	镀
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍤	锸
鍥	锲
鍩	锘
鍫	锹
鍬	锹
鍭	𬭤
鍰	锾
鍳	鉴
鍵	键
鍶	锶
鍺	锗
鍼	针
鍾	钟 锺
鎂	镁
鎄	锿
鎇	镅
鎊	镑
鎌	镰
鎓	𬭩
鎔	镕
鎖	锁
鎗	枪
鎘	镉
鎚	锤
鎛	镈
鎝	𨱏
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎭	镇
鎮	镇
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎸	镌
鎻	锁
鎿	镎
鏃	镞
鏇	旋
鏈	链
鏌	镆
鏏	𬭬
鏐	镠
鏑	镝
鏗	铿
鏘	锵
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
鏨	錾
鏰	镚
鏵	铧
鏷	镤
鏹	镪
鏺	䥽
鏻	𬭸
鏽	锈
鐃	铙
鐄	𨱑
鐇	𫔍
鐋	铴
鐍	𫔎
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐦	锎
鐧	锏
鐨	镄
鐩	𬭼
鐫	镌
鐮	镰
鐯	䦃
鐲	镯
鐳	镭
鐵	铁
鐶	镮
鐸	铎
鐺	铛
鐽	𫟼
鐿	镱
鑄	铸
鑊	镬
鑌	镔
鑑	鉴
鑒	鉴
鑔	镲
鑕	锧
鑚	钻
鑛	矿
鑞	镴
鑠	铄
鑣	镳
鑤	刨
鑥	镥
鑪	𬬻 炉
鑭	镧
鑰	钥
鑱	镵
鑲	镶
鑵	罐
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
钁	镢
钂	镋
長	长
門	门
閂	闩
閃	闪
閆	闫
閉	闭
開	开
閌	闶
閎	闳
閏	闰
閑	闲
閒	闲
間	间
閔	闵
閘	闸
閙	闹
閡	阂
閣	阁
閤	合 阁
閥	阀
閧	哄
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閱	阅
閲	阅
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闆	板
闇	暗
闈	闱
闉	𬮱
闊	阔
闋	阕
闌	阑
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
闚	窥
關	关
闞	阚
闡	阐
闢	辟
闥	闼
阨	厄
阪	阪 坂
阬	坑
阯	址
陗	峭
陘	陉
陝	陕
陞	陞 升
陣	阵
陰	阴
陳	陈
陸	陆
陻	堙
陽	阳
陿	狭
隂	阴
隄	堤
隉	陧
隊	队
階	阶
隑	𬮿
隕	陨
隖	坞
際	际
隣	邻
隤	𬯎
隨	随
險	险
隮	𬯀
隱	隐
隴	陇
隷	隶
隸	隶
隻	只
雋	隽
雖	虽
雙	双
雛	雏
雜	杂
雝	雍
雞	鸡
離	离
難	难
雰	氛
雲	云
電	电
霑	沾
霧	雾
霽	霁
靂	雳
靄	霭
靆	叇
靈	灵
靉	叆
靚	靓
靜	静
靦	腼
靨	靥
靭	韧
靱	韧
鞌	鞍
鞏	巩
鞝	绱
鞦	秋
鞵	鞋
鞽	鞒
鞾	靴
韁	缰
韃	鞑
韆	千
韈	袜
韉	鞯
韋	韦
韌	韧
韍	韨
韓	韩
韙	韪
韜	韬
韝	鞲
韞	韫
韤	袜
韮	韭
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頍	𫠆
頎	颀
頏	颃
預	预
頑	顽
頒	颁
頓	顿
頔	𬱖
頗	颇
領	领
頜	颌
頟	额
頠	𬱟
頡	颉
頤	颐
頦	颏
頫	𫖯 俯
頭	头
頰	颊
頲	颋
頴	颖
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頼	赖
頽	颓
顆	颗
顇	悴
顋	腮
題	题
額	额
顎	颚
顏	颜
顒	颙
顓	颛
顔	颜
顗	𫖮
願	愿
顙	颡
顛	颠
類	类
顢	颟
顥	颢
顦	憔
顧	顾
顫	颤
顬	颥
顯	显
顰	颦
顱	颅
顳	颞
顴	颧
風	风
颭	飐
颮	飑
颯	飒
颱	台
颳	刮
颶	飓
颸	飔
颺	飏 扬
颼	飕
颿	帆
飀	飗
飃	飘
飄	飘
飆	飙
飛	飞
飜	翻
飢	饥
飤	饲
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飱	飧
飲	饮
飴	饴
飼	饲
飽	饱
飾	饰
飿	饳
餁	饪
餃	饺
餄	饸
餅	饼
餈	糍
餉	饷
養	养
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
餗	𫗧
餘	余
餚	肴
餛	馄
餜	馃
餞	饯
餡	馅
餧	喂
館	馆
餬	糊
餱	糇
餳	饧
餵	喂
餶	馉
餷	馇
餹	糖
餻	糕
餼	饩
餽	馈
餾	馏
餿	馊
饁	馌
饃	馍
饅	馒
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饍	膳
饑	饥
饒	饶
饗	飨
饘	𫗴
饜	餍
饝	馍
饞	馋
饟	饷
饢	馕
馬	马
馭	驭
馮	冯
馱	驮
馳	驰
馴	驯
馹	驲
馼	𫘜
駁	驳
駃	𫘝
駈	驱
駉	𬳶
駐	驻
駑	驽
駒	驹
駓	𬳵
駔	驵
駕	驾
駘	骀
駙	驸
駛	驶
駝	驼
駞	驼
駟	驷
駡	骂
駢	骈
駪	𬳽
駭	骇
駮	驳
駰	骃
駱	骆
駸	骎
駼	𬳿
駿	骏
騁	骋
騂	骍
騄	𫘧
騅	骓
騊	𫘦
騌	鬃
騍	骒
騎	骑
騏	骐
騐	验
騑	𬴂
騖	骛
騙	骗
騞	𬴃
騠	𫘨
騣	鬃
騤	骙
騫	骞
騭	骘
騮	骝
騰	腾
騱	𫘬
騵	𫘪
騶	驺
騷	骚
騸	骟
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢
驅	驱
驊	骅
驌	骕
驍	骁
驎	𬴊
驏	骣
驕	骄
驗	验
驘	骡
驚	惊
驛	驿
驟	骤
驢	驴
驤	骧
驥	骥
驦	骦
驩	欢
驪	骊
驫	骉
骯	肮
骽	腿
骾	鲠
髈	膀
髏	髅
髒	脏
體	体
髕	髌
髖	髋
髣	仿
髥	髯
髮	发
髴	佛
鬀	剃
鬆	松
鬉	鬃
鬍	胡
鬚	须
鬢	鬓
鬥	斗
鬦	斗
鬧	闹
鬨	哄
鬩	阋
鬪	斗
鬭	斗
鬮	阄
鬰	郁
鬱	郁
鬹	鬶
魎	魉
魘	魇
魚	鱼
魛	鱽
魢	鱾
魨	鲀
魯	鲁
魴	鲂
魷	鱿
鮀	𬶍
鮁	鲅
鮃	鲆
鮆	𫚖
鮈	𬶋
鮊	鲌
鮋	鲉
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮠	𬶏
鮡	𬶐
鮣	䲟
鮦	鲖
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
鮶	鲪
鮸	𩾃
鮺	鲝
鯀	鲧
鯁	鲠
鯇	鲩
鯉	鲤
鯊	鲨
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
鯴	鲺
鯷	鳀
鯻	𬶟
鯽	鲫
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰈	鲽
鰉	鳇
鰊	𬶠
鰌	鳅
鰍	鳅
鰏	鲾
鰐	鳄
鰓	鳃
鰛	鳁
鰜	鳒
鰟	鳑
鰣	鲥
鰤	𫚕
鰥	鳏
鰧	䲢
鰨	鳎
鰩	鳐
鰭	鳍
鰮	鳁
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰶	𬶭
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰾	鳔
鱀	𬶨
鱂	鳉
鱅	鳙
鱇	𩾌
鱈	鳕
鱉	鳖
鱒	鳟
鱓	鳝
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鱚	𬶮
鱝	鲼
鱟	鲎
鱠	鲙
鱣	鳣
鱤	鳡
鱧	鳢
鱨	鲿
鱭	鲚
鱯	鳠
鱲	𫚭
鱷	鳄
鱸	鲈
鱺	鲡
鱻	鲜
鳥	鸟
鳧	凫
鳩	鸠
鳬	凫
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
鳾	䴓
鴆	鸩
鴇	鸨
鴈	雁
鴉	鸦
鴒	鸰
鴕	鸵
鴛	鸳
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
鴦	鸯
鴨	鸭
鴯	鸸
鴰	鸹
鴴	鸻
鴷	䴕
鴻	鸿
鴿	鸽
鵁	䴔
鵂	鸺
鵃	鸼
鵏	𬷕
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
鵜	鹈
鵝	鹅
鵞	鹅
鵟	𫛭
鵠	鹄
鵡	鹉
鵪	鹌
鵬	鹏
鵮	鹐
鵯	鹎
鵰	雕
鵲	鹊
鵶	鸦
鵾	鹍
鶄	䴖
鶇	鸫
鶉	鹑
鶊	鹒
鶓	鹋
鶖	鹙
鶘	鹕
鶚	鹗
鶠	𬸘
鶡	鹖
鶥	鹛
鶩	鹜
鶪	䴗
鶬	鸧
鶯	莺
鶱	𬸣
鶲	鹟
鶴	鹤
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鶿	鹚
鷀	鹚
鷁	鹢
鷂	鹞
鷄	鸡
鷉	䴘
鷊	鹝
鷓	鹧
鷗	鸥
鷙	鸷
鷚	鹨
鷟	𬸦
鷥	鸶
鷦	鹪
鷫	鹔
鷭	𬸪
鷯	鹩
鷰	燕
鷲	鹫
鷳	鹇
鷴	鹇
鷸	鹬
鷹	鹰
鷺	鹭
鸇	鹯
鸊	䴙
鸌	鹱
鸎	莺
鸏	鹲
鸑	𬸚
鸕	鸬
鸘	鹴
鸚	鹦
鸛	鹳
鸝	鹂
鸞	鸾
鹵	卤
鹹	咸
鹺	鹾
鹻	碱
鹼	碱
鹽	盐
麐	麟
麗	丽
麞	獐
麤	粗
麥	麦
麩	麸
麪	面
麫	面
麯	曲
麴	曲 麹
麵	面
麼	么 麽
麽	么 麽
黃	黄
黌	黉
點	点
黨	党
黲	黪
黴	霉
黶	黡
黷	黩
黽	黾
黿	鼋
鼃	蛙
鼇	鳌
鼈	鳖
鼉	鼍
鼕	冬
鼴	鼹
齊	齐
齋	斋
齎	赍
齏	齑
齒	齿
齔	龀
齕	龁
齗	龂
齘	𬹼
齙	龅
齜	龇
齟	龃
齠	龆
齡	龄
齣	出
齦	龈
齧	啮
齩	咬
齪	龊
齬	龉
齮	𬺈
齯	𫠜
齲	龋
齶	腭
齷	龌
齼	𬺓
龍	龙
龐	庞
龑	䶮
龔	龚
龕	龛
龜	龟
龢	龢 和
虜	虏
奔	奔
𠇮	命
𠌂	伞
𠕂	再
𠕅	再
𠖇	冥
𠞰	剿
𠪱	历
𠴟	咩
𠴰	咱
𠻳	嗽
𡐨	野
𡑍	𫭼
𡚁	弊
𡨘	冤
𡨥	寇
𡬶	寻
𡻕	岁
𢬸	括
𢮥	操
𢷬	捣
𣈶	暅
𣙜	榷
𣺌	渺
𤋮	熙
𤨏	琐
𤰜	亩
𤱈	亩
𤱊	留
𤺥	瘩
𥄨	瞅
𥗽	𬒗
𥤚	秋
𥦗	窗
𥲻	纂
𦂳	紧
𦃂	紧
𦉆	碴
𦊱	挂
𦍑	羌
𦕈	眇
𦵏	葬
𨧀	𬭊
𨨏	𬭛
𨭆	𬭶
𨭎	𬭳
𨽻	隶
𩓐	脖
𩗗	飓
𭁵	寇
兔	兔
軔	轫
